1530354675.610,2018-06-30T10:31:15.610,0.137,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354682.037,2018-06-30T10:31:22.037,0.145,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354688.451,2018-06-30T10:31:28.451,0.133,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354694.832,2018-06-30T10:31:34.832,0.137,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354701.245,2018-06-30T10:31:41.245,0.141,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354707.633,2018-06-30T10:31:47.633,0.133,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354714.038,2018-06-30T10:31:54.038,0.129,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354720.473,2018-06-30T10:32:00.473,0.157,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354726.850,2018-06-30T10:32:06.850,0.133,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354733.231,2018-06-30T10:32:13.231,0.137,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354739.642,2018-06-30T10:32:19.642,0.137,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354746.031,2018-06-30T10:32:26.031,0.137,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354752.429,2018-06-30T10:32:32.429,0.133,100,-02,-40,    NaN,    NaN,     NaN,     NaN
1530354758.872,2018-06-30T10:32:38.872,0.137,100,-02,-40,    NaN,    NaN,     NaN,     NaN
