S121C	2019-03-12 07:47:19
value unit [W]	time unit [ms]
wavelength	413.000nm
range	AUTO
7.200867E-03	144
7.224271E-03	444
7.249698E-03	744
7.262135E-03	1044
7.271402E-03	1344
7.279673E-03	1644
7.286306E-03	1944
7.291725E-03	2244
7.296744E-03	2544
7.299947E-03	2844
7.302023E-03	3144
7.298481E-03	3444
7.294747E-03	3744
7.290545E-03	4044
7.286467E-03	4344
7.283657E-03	4644
7.281303E-03	4944
7.278184E-03	5244
7.275478E-03	5544
7.270693E-03	5844
7.268087E-03	6144
7.264938E-03	6444
7.261959E-03	6744
7.259171E-03	7046
7.257724E-03	7346
7.253074E-03	7646
7.251846E-03	7946
7.249687E-03	8246
7.250694E-03	8546
7.251141E-03	8846
7.254905E-03	9146
7.254588E-03	9446
7.255004E-03	9746
7.252922E-03	10046
7.250375E-03	10346
7.247639E-03	10646
7.243830E-03	10946
7.238622E-03	11246
7.233777E-03	11546
7.225449E-03	11846
7.216674E-03	12146
7.206263E-03	12446
7.196753E-03	12746
7.184365E-03	13046
7.174328E-03	13346
7.166699E-03	13646
7.156802E-03	13946
7.146442E-03	14246
7.138213E-03	14546
7.131538E-03	14848
7.126468E-03	15148
7.122773E-03	15448
7.119320E-03	15748
7.114992E-03	16048
7.112652E-03	16348
7.114144E-03	16648
7.116530E-03	16948
7.120597E-03	17248
7.123046E-03	17548
7.128360E-03	17848
7.131419E-03	18148
7.138771E-03	18448
7.142364E-03	18748
7.146300E-03	19048
7.151858E-03	19348
7.153232E-03	19648
7.154456E-03	19948
7.157140E-03	20248
7.159423E-03	20548
7.162682E-03	20848
7.166227E-03	21148
7.172415E-03	21448
7.180202E-03	21748
7.186757E-03	22048
7.192210E-03	22348
7.199931E-03	22649
7.204376E-03	22949
7.210783E-03	23249
7.212464E-03	23549
7.215425E-03	23849
7.213656E-03	24149
7.211796E-03	24449
7.212387E-03	24749
7.216060E-03	25049
7.218564E-03	25349
7.223837E-03	25649
7.228086E-03	25949
7.232874E-03	26249
7.235820E-03	26549
7.236727E-03	26849
7.241274E-03	27149
7.239489E-03	27449
7.239543E-03	27749
7.237334E-03	28049
7.234390E-03	28349
7.229738E-03	28649
7.225975E-03	28949
7.219295E-03	29249
7.213341E-03	29549
7.207748E-03	29849
7.205268E-03	30152
7.198818E-03	30452
7.191788E-03	30752
7.188684E-03	31052
7.183032E-03	31352
7.179035E-03	31658
7.178821E-03	31960
7.177116E-03	32260
7.173115E-03	32560
7.168914E-03	32860
7.166169E-03	33160
7.160380E-03	33460
7.157551E-03	33760
7.158258E-03	34060
7.163965E-03	34360
7.164033E-03	34660
7.162173E-03	34960
7.161715E-03	35260
7.155778E-03	35560
7.154888E-03	35860
7.150148E-03	36160
7.148656E-03	36460
7.147294E-03	36760
7.149075E-03	37060
7.150668E-03	37360
7.155495E-03	37660
7.159901E-03	37962
7.162435E-03	38262
7.161928E-03	38562
7.162875E-03	38862
7.159126E-03	39162
7.154130E-03	39462
7.148531E-03	39762
7.145685E-03	40062
7.141336E-03	40362
7.138052E-03	40662
7.132114E-03	40962
7.124050E-03	41262
7.118776E-03	41562
7.110679E-03	41862
7.104441E-03	42162
7.101245E-03	42462
7.095250E-03	42762
7.086940E-03	43062
7.080327E-03	43362
7.067955E-03	43662
7.055432E-03	43962
7.046916E-03	44262
7.039131E-03	44562
7.035504E-03	44862
7.032406E-03	45162
7.033639E-03	45463
7.037314E-03	45763
7.042362E-03	46063
7.048695E-03	46363
7.053435E-03	46663
7.058155E-03	46963
7.063066E-03	47263
7.063917E-03	47563
7.066842E-03	47863
7.070094E-03	48163
7.073015E-03	48463
7.074662E-03	48763
7.079590E-03	49063
7.084007E-03	49363
7.089804E-03	49663
7.095677E-03	49963
7.094834E-03	50263
7.097539E-03	50563
7.096065E-03	50863
7.098102E-03	51163
7.100991E-03	51463
7.101785E-03	51763
7.104402E-03	52063
7.110209E-03	52363
7.118629E-03	52663
7.127398E-03	52963
7.137579E-03	53265
7.146949E-03	53565
7.158893E-03	53865
7.166110E-03	54165
7.175474E-03	54465
7.182102E-03	54765
7.189979E-03	55065
7.198865E-03	55365
7.207857E-03	55665
7.217299E-03	55965
7.226298E-03	56265
7.234095E-03	56565
7.241609E-03	56865
7.245704E-03	57165
7.249554E-03	57465
7.253323E-03	57765
7.257457E-03	58065
7.262542E-03	58365
7.266114E-03	58665
7.268496E-03	58965
7.270588E-03	59265
7.275091E-03	59565
7.277140E-03	59865
7.282034E-03	60165
7.285788E-03	60465
7.287417E-03	60765
7.290987E-03	61067
7.294002E-03	61367
7.294418E-03	61667
7.296103E-03	61967
7.298219E-03	62267
7.297996E-03	62572
7.300749E-03	62872
7.301031E-03	63172
7.300375E-03	63472
7.297692E-03	63772
7.297477E-03	64072
7.292445E-03	64372
7.288692E-03	64672
7.279810E-03	64972
7.272275E-03	65272
7.261464E-03	65572
7.249172E-03	65872
7.238663E-03	66172
7.228463E-03	66472
7.217343E-03	66772
7.207376E-03	67072
7.195860E-03	67372
7.179631E-03	67672
7.168909E-03	67972
7.159454E-03	68272
7.158082E-03	68574
7.157342E-03	68874
7.156573E-03	69174
7.157783E-03	69474
7.161266E-03	69774
7.164156E-03	70074
7.171908E-03	70374
7.181611E-03	70674
7.192710E-03	70974
7.203992E-03	71274
7.212862E-03	71574
7.221375E-03	71874
7.228659E-03	72174
7.234600E-03	72474
7.238587E-03	72774
7.241152E-03	73074
7.240928E-03	73374
7.242281E-03	73674
7.242294E-03	73974
7.244844E-03	74274
7.247873E-03	74574
7.253345E-03	74874
7.257953E-03	75174
7.261149E-03	75474
7.267907E-03	75774
7.271706E-03	76074
7.277647E-03	76376
7.283919E-03	76676
7.287766E-03	76976
7.288885E-03	77276
7.286752E-03	77576
7.285287E-03	77876
7.279803E-03	78176
7.277003E-03	78476
7.272507E-03	78776
7.266418E-03	79076
7.257040E-03	79376
7.252523E-03	79676
7.243334E-03	79976
7.237290E-03	80276
7.233393E-03	80576
7.228675E-03	80876
7.227122E-03	81176
7.222204E-03	81476
7.217089E-03	81776
7.212353E-03	82076
7.206506E-03	82376
7.203559E-03	82676
7.201954E-03	82976
7.202514E-03	83276
7.204690E-03	83576
7.204258E-03	83877
7.200249E-03	84177
7.199003E-03	84477
7.199260E-03	84777
7.200119E-03	85077
7.200259E-03	85377
7.200460E-03	85677
7.204050E-03	85977
7.207819E-03	86277
7.212932E-03	86577
7.217281E-03	86877
7.218249E-03	87177
7.215161E-03	87477
7.217037E-03	87777
7.214970E-03	88077
7.215661E-03	88377
7.214745E-03	88677
7.220879E-03	88977
7.222971E-03	89277
7.225688E-03	89577
7.228410E-03	89877
7.232025E-03	90177
7.236464E-03	90477
7.232397E-03	90777
7.229734E-03	91077
7.225270E-03	91377
7.216805E-03	91679
7.212474E-03	91979
7.202541E-03	92279
7.199672E-03	92579
7.191328E-03	92879
7.189111E-03	93179
7.188894E-03	93485
7.185533E-03	93785
7.185925E-03	94085
7.180792E-03	94385
7.180041E-03	94685
7.175577E-03	94985
7.178099E-03	95285
7.176919E-03	95585
7.180097E-03	95885
7.180861E-03	96185
7.183984E-03	96485
7.185694E-03	96785
7.187179E-03	97085
7.190811E-03	97385
7.193280E-03	97685
7.191309E-03	97985
7.192429E-03	98285
7.190198E-03	98585
7.189761E-03	98885
7.187847E-03	99185
7.188497E-03	99487
7.185786E-03	99787
7.187107E-03	100087
7.186642E-03	100387
7.183665E-03	100687
7.182507E-03	100987
7.177243E-03	101287
7.172900E-03	101587
7.167122E-03	101887
7.161329E-03	102187
7.156817E-03	102487
7.152816E-03	102787
7.143886E-03	103087
7.137961E-03	103387
7.133068E-03	103687
7.127402E-03	103987
7.124417E-03	104287
7.118496E-03	104587
7.111422E-03	104887
7.104366E-03	105187
7.092874E-03	105487
7.083198E-03	105787
7.075580E-03	106087
7.060362E-03	106387
7.047908E-03	106688
7.031991E-03	106988
7.021381E-03	107288
7.009828E-03	107588
6.997075E-03	107888
6.987706E-03	108188
6.972652E-03	108488
6.961566E-03	108788
6.945584E-03	109088
6.932197E-03	109388
6.915808E-03	109688
6.900154E-03	109988
6.880603E-03	110288
6.861478E-03	110588
6.839946E-03	110888
6.818444E-03	111188
6.800888E-03	111488
6.784929E-03	111788
6.767760E-03	112088
6.761423E-03	112388
6.754318E-03	112688
6.748103E-03	112988
6.742291E-03	113288
6.739390E-03	113588
6.740717E-03	113890
6.743367E-03	114190
6.745909E-03	114490
6.751428E-03	114790
6.759721E-03	115090
6.764036E-03	115390
6.767555E-03	115690
6.772479E-03	115990
6.776974E-03	116290
6.788239E-03	116590
6.796069E-03	116890
6.805539E-03	117190
6.817763E-03	117490
6.828893E-03	117790
6.837489E-03	118090
6.846925E-03	118390
6.856181E-03	118690
6.865853E-03	118990
6.878338E-03	119290
6.884303E-03	119590
6.893246E-03	119890
6.898887E-03	120190
6.908055E-03	120490
6.913129E-03	120790
6.920558E-03	121090
6.923156E-03	121392
6.926815E-03	121692
6.925847E-03	121992
6.922039E-03	122292
6.915379E-03	122592
6.903248E-03	122892
6.893540E-03	123197
6.883075E-03	123497
6.878902E-03	123797
6.872375E-03	124097
6.865447E-03	124397
6.861045E-03	124697
6.858273E-03	124997
6.854744E-03	125297
6.851448E-03	125597
6.847689E-03	125897
6.844748E-03	126197
6.842561E-03	126497
6.841399E-03	126797
6.839593E-03	127097
6.839842E-03	127397
6.839077E-03	127697
6.841522E-03	127997
6.845844E-03	128297
6.851776E-03	128599
6.856205E-03	128899
6.860793E-03	129199
6.864812E-03	129499
6.867351E-03	129799
6.872837E-03	130099
6.878349E-03	130399
6.885212E-03	130699
6.889087E-03	130999
6.891589E-03	131299
6.893849E-03	131599
6.894229E-03	131899
6.891771E-03	132199
6.893220E-03	132499
6.896089E-03	132799
6.896044E-03	133099
6.898292E-03	133399
6.906785E-03	133699
6.909889E-03	133999
6.916491E-03	134299
6.922741E-03	134599
6.929102E-03	134899
6.935985E-03	135199
6.938721E-03	135499
6.942580E-03	135799
6.945451E-03	136101
6.948292E-03	136401
6.952260E-03	136701
6.955368E-03	137001
6.959913E-03	137301
6.963484E-03	137601
6.968719E-03	137901
6.974267E-03	138201
6.980867E-03	138501
6.984321E-03	138801
6.992608E-03	139101
6.997520E-03	139401
6.999162E-03	139701
7.004016E-03	140001
7.003741E-03	140301
7.003084E-03	140601
7.001747E-03	140901
7.002060E-03	141201
7.005753E-03	141501
7.007644E-03	141801
7.012919E-03	142101
7.020597E-03	142401
7.027892E-03	142701
7.032683E-03	143001
7.040701E-03	143302
7.048313E-03	143602
7.056539E-03	143902
7.066800E-03	144202
7.073942E-03	144502
7.079177E-03	144802
7.084552E-03	145102
7.088328E-03	145402
7.095473E-03	145702
7.102421E-03	146002
7.109397E-03	146302
7.116547E-03	146602
7.126003E-03	146902
7.129845E-03	147202
7.135325E-03	147502
7.138352E-03	147802
7.140998E-03	148102
7.143551E-03	148402
7.146584E-03	148702
7.152443E-03	149002
7.154355E-03	149302
7.155105E-03	149602
7.149727E-03	149902
7.150304E-03	150202
7.145214E-03	150504
7.143210E-03	150804
7.139652E-03	151104
7.135359E-03	151404
7.135453E-03	151704
7.132408E-03	152004
7.135585E-03	152304
7.140270E-03	152610
7.145487E-03	152910
7.148173E-03	153210
7.153354E-03	153510
7.154162E-03	153810
7.157517E-03	154110
7.159468E-03	154410
7.165729E-03	154710
7.166889E-03	155010
7.171812E-03	155310
7.173425E-03	155610
7.173399E-03	155910
7.172828E-03	156210
7.174163E-03	156510
7.173288E-03	156810
7.176369E-03	157110
7.179541E-03	157410
7.185745E-03	157710
7.190494E-03	158012
7.196811E-03	158312
7.197333E-03	158612
7.197970E-03	158912
7.194631E-03	159212
7.187849E-03	159512
7.183059E-03	159812
7.178928E-03	160112
7.175285E-03	160412
7.172989E-03	160712
7.172115E-03	161012
7.169544E-03	161312
7.168761E-03	161612
7.168141E-03	161912
7.162267E-03	162212
7.155085E-03	162512
7.147789E-03	162812
7.142484E-03	163112
7.139014E-03	163412
7.136895E-03	163712
7.134601E-03	164012
7.135457E-03	164312
7.134129E-03	164612
7.130368E-03	164912
7.125177E-03	165213
7.121864E-03	165513
7.118889E-03	165813
7.118291E-03	166113
7.119495E-03	166413
7.121697E-03	166713
7.125014E-03	167013
7.128471E-03	167313
7.129082E-03	167613
7.129313E-03	167913
7.124584E-03	168213
7.123129E-03	168513
7.122250E-03	168813
7.121579E-03	169113
7.118945E-03	169413
7.119648E-03	169713
7.114280E-03	170013
7.112532E-03	170313
7.106826E-03	170613
7.107665E-03	170913
7.108753E-03	171213
7.109168E-03	171513
7.117611E-03	171813
7.117686E-03	172113
7.120423E-03	172415
7.116359E-03	172715
7.117925E-03	173015
7.116541E-03	173315
7.113526E-03	173615
7.113369E-03	173915
7.113900E-03	174215
7.114686E-03	174515
7.115996E-03	174815
7.113679E-03	175115
7.109860E-03	175415
7.108244E-03	175715
7.106719E-03	176015
7.107285E-03	176315
7.111809E-03	176615
7.114095E-03	176915
7.119666E-03	177215
7.124214E-03	177515
7.125624E-03	177815
7.127227E-03	178115
7.132282E-03	178415
7.136186E-03	178715
7.140329E-03	179015
7.146480E-03	179315
7.150227E-03	179615
7.150740E-03	179917
7.153916E-03	180217
7.153823E-03	180517
7.154326E-03	180817
7.151726E-03	181117
7.148263E-03	181417
7.146376E-03	181717
7.144230E-03	182022
7.140260E-03	182322
