S121C	2019-03-12 07:29:16
value unit [W]	time unit [ms]
wavelength	413.000nm
range	AUTO
1.690258E-04	143
1.690573E-04	443
1.691097E-04	743
1.691481E-04	1043
1.691819E-04	1343
1.692236E-04	1643
1.692687E-04	1943
1.693047E-04	2243
1.693421E-04	2543
1.693630E-04	2843
1.694156E-04	3143
1.694357E-04	3443
1.694680E-04	3743
1.695064E-04	4043
1.695257E-04	4343
1.695574E-04	4643
1.695726E-04	4943
1.695829E-04	5243
1.696142E-04	5543
1.696190E-04	5843
1.696392E-04	6143
1.696574E-04	6443
1.696956E-04	6743
1.697273E-04	7045
1.697425E-04	7345
1.697484E-04	7645
1.697415E-04	7945
1.697526E-04	8245
1.697352E-04	8545
1.698132E-04	8845
1.698171E-04	9145
1.697968E-04	9445
1.697902E-04	9745
1.697696E-04	10045
1.697831E-04	10345
1.697695E-04	10645
1.696856E-04	10945
1.696346E-04	11245
1.695414E-04	11545
1.694144E-04	11845
1.692923E-04	12145
1.692382E-04	12445
1.691399E-04	12745
1.691010E-04	13045
1.689738E-04	13345
1.689160E-04	13645
1.687472E-04	13945
1.685942E-04	14245
1.683921E-04	14545
1.681596E-04	14846
1.679280E-04	15146
1.676787E-04	15446
1.674622E-04	15746
1.673189E-04	16046
1.670804E-04	16346
1.669928E-04	16646
1.667625E-04	16946
1.666426E-04	17246
1.664277E-04	17546
1.663401E-04	17846
1.661704E-04	18146
1.660924E-04	18446
1.659233E-04	18746
1.660181E-04	19046
1.659780E-04	19346
1.659861E-04	19646
1.660994E-04	19946
1.660931E-04	20246
1.661414E-04	20546
1.661276E-04	20846
1.662077E-04	21146
1.662582E-04	21446
1.663334E-04	21746
1.663250E-04	22046
1.663220E-04	22346
1.662510E-04	22648
1.661952E-04	22948
1.661860E-04	23248
1.661650E-04	23548
1.662955E-04	23848
1.664696E-04	24148
1.667340E-04	24448
1.668914E-04	24748
1.670826E-04	25048
1.672658E-04	25348
1.673028E-04	25648
1.672584E-04	25948
1.671166E-04	26248
1.669210E-04	26548
1.666285E-04	26848
1.664965E-04	27148
1.662125E-04	27448
1.659710E-04	27748
1.655786E-04	28048
1.651619E-04	28348
1.646092E-04	28648
1.642000E-04	28948
1.636901E-04	29248
1.633238E-04	29548
1.629809E-04	29848
1.627392E-04	30150
1.627417E-04	30450
1.627967E-04	30750
1.629115E-04	31050
1.630316E-04	31350
1.632800E-04	31657
1.636240E-04	31959
1.639083E-04	32259
1.641649E-04	32559
1.642874E-04	32859
1.644377E-04	33159
1.646279E-04	33459
1.647250E-04	33759
1.648052E-04	34059
1.648684E-04	34359
1.648768E-04	34659
1.647749E-04	34959
1.646173E-04	35259
1.644604E-04	35559
1.641971E-04	35859
1.639599E-04	36159
1.637838E-04	36459
1.635424E-04	36759
1.634758E-04	37059
1.634173E-04	37359
1.634902E-04	37659
1.634858E-04	37960
1.635989E-04	38260
1.635485E-04	38560
1.635341E-04	38860
1.634843E-04	39160
1.633915E-04	39460
1.631054E-04	39760
1.630894E-04	40060
1.628929E-04	40360
1.628258E-04	40660
1.627469E-04	40960
1.627170E-04	41260
1.626484E-04	41560
1.624905E-04	41860
1.620801E-04	42160
1.618398E-04	42460
1.614507E-04	42760
1.611261E-04	43060
1.607799E-04	43360
1.602736E-04	43660
1.597827E-04	43960
1.594058E-04	44260
1.588962E-04	44560
1.586811E-04	44860
1.581768E-04	45160
1.578989E-04	45462
1.574732E-04	45762
1.569868E-04	46062
1.565022E-04	46362
1.560559E-04	46662
1.556142E-04	46962
1.553846E-04	47262
1.549216E-04	47562
1.546244E-04	47862
1.540030E-04	48162
1.535897E-04	48462
1.529176E-04	48762
1.524191E-04	49062
1.518641E-04	49362
1.514014E-04	49662
1.510280E-04	49962
1.507610E-04	50262
1.505833E-04	50562
1.504938E-04	50862
1.506352E-04	51162
1.508202E-04	51462
1.511642E-04	51762
1.517007E-04	52062
1.522634E-04	52362
1.529413E-04	52662
1.538062E-04	52962
1.545818E-04	53264
1.551648E-04	53564
1.558079E-04	53864
1.563862E-04	54164
1.568359E-04	54464
1.573148E-04	54764
1.575627E-04	55064
1.578651E-04	55364
1.579462E-04	55664
1.579479E-04	55964
1.579565E-04	56264
1.578427E-04	56564
1.576389E-04	56864
1.573729E-04	57164
1.572916E-04	57464
1.573523E-04	57764
1.574948E-04	58064
1.576335E-04	58364
1.579005E-04	58664
1.581263E-04	58964
1.583847E-04	59264
1.584651E-04	59564
1.587270E-04	59864
1.588385E-04	60164
1.590939E-04	60464
1.593663E-04	60764
1.597112E-04	61065
1.600291E-04	61365
1.603098E-04	61665
1.603746E-04	61965
1.604359E-04	62265
1.605896E-04	62571
1.607151E-04	62871
1.607610E-04	63171
1.607638E-04	63471
1.606928E-04	63771
1.606280E-04	64071
1.606129E-04	64371
1.603356E-04	64671
1.601556E-04	64971
1.598244E-04	65271
1.596644E-04	65571
1.595581E-04	65871
1.595455E-04	66171
1.595219E-04	66471
1.595885E-04	66771
1.596510E-04	67071
1.596849E-04	67371
1.596227E-04	67671
1.597642E-04	67971
1.598205E-04	68271
1.600172E-04	68573
1.601992E-04	68873
1.604462E-04	69173
1.608239E-04	69473
1.611958E-04	69773
1.615209E-04	70073
1.619127E-04	70373
1.624323E-04	70673
1.628146E-04	70973
1.632826E-04	71273
1.635996E-04	71573
1.636890E-04	71873
1.637408E-04	72173
1.636025E-04	72473
1.635539E-04	72773
1.634841E-04	73073
1.633632E-04	73373
1.631882E-04	73673
1.630673E-04	73973
1.629674E-04	74273
1.627768E-04	74573
1.625430E-04	74873
1.622468E-04	75173
1.620197E-04	75473
1.618181E-04	75773
1.614877E-04	76073
1.613432E-04	76374
1.612951E-04	76674
1.612383E-04	76974
1.610919E-04	77274
1.610056E-04	77574
1.608616E-04	77874
1.606245E-04	78174
1.605606E-04	78474
1.603381E-04	78774
1.600518E-04	79074
1.598758E-04	79374
1.596485E-04	79674
1.594601E-04	79974
1.594478E-04	80274
1.594576E-04	80574
1.594880E-04	80874
1.595951E-04	81174
1.596552E-04	81474
1.595219E-04	81774
1.594212E-04	82074
1.594565E-04	82374
1.592732E-04	82674
1.591422E-04	82974
1.588609E-04	83274
1.585370E-04	83574
1.578910E-04	83876
1.573245E-04	84176
1.565756E-04	84476
1.556796E-04	84776
1.547095E-04	85076
1.537102E-04	85376
1.526534E-04	85676
1.515428E-04	85976
1.505500E-04	86276
1.494930E-04	86576
1.485473E-04	86876
1.475770E-04	87176
1.466347E-04	87476
1.456398E-04	87776
1.447348E-04	88076
1.438843E-04	88376
1.432964E-04	88676
1.428139E-04	88976
1.424198E-04	89276
1.421840E-04	89576
1.417368E-04	89876
1.413314E-04	90176
1.407750E-04	90476
1.404149E-04	90776
1.398965E-04	91076
1.393190E-04	91376
1.386576E-04	91678
1.382572E-04	91978
1.375840E-04	92278
1.373183E-04	92578
1.369228E-04	92878
1.366354E-04	93178
1.365182E-04	93484
1.364874E-04	93784
1.366797E-04	94084
1.370875E-04	94384
1.373669E-04	94684
1.377335E-04	94984
1.381926E-04	95284
1.385345E-04	95584
1.388523E-04	95884
1.390837E-04	96184
1.394354E-04	96484
1.398236E-04	96784
1.402422E-04	97084
1.405002E-04	97384
1.409632E-04	97684
1.412405E-04	97984
1.416929E-04	98284
1.419736E-04	98584
1.424341E-04	98884
1.427461E-04	99184
1.433132E-04	99486
1.437332E-04	99786
1.441601E-04	100086
1.445795E-04	100386
1.449166E-04	100686
1.453018E-04	100986
1.455736E-04	101286
1.461186E-04	101586
1.468000E-04	101886
1.474690E-04	102186
1.483681E-04	102486
1.489736E-04	102786
1.497855E-04	103086
1.503541E-04	103386
1.510127E-04	103686
1.514195E-04	103986
1.519212E-04	104286
1.522673E-04	104586
1.527421E-04	104886
1.533309E-04	105186
1.534350E-04	105486
1.536824E-04	105786
1.535369E-04	106086
1.536860E-04	106386
1.539778E-04	106687
1.541989E-04	106987
1.545733E-04	107287
1.548643E-04	107587
1.554953E-04	107887
1.559631E-04	108187
1.565445E-04	108487
1.570224E-04	108787
1.574228E-04	109087
1.580566E-04	109387
1.586992E-04	109687
1.594315E-04	109987
1.602489E-04	110287
1.611367E-04	110587
1.621617E-04	110887
1.630048E-04	111187
1.638081E-04	111487
1.645349E-04	111787
1.649829E-04	112087
1.652868E-04	112387
1.655472E-04	112687
1.657350E-04	112987
1.658508E-04	113287
1.660623E-04	113587
1.661962E-04	113889
1.662480E-04	114189
1.663306E-04	114489
1.663204E-04	114789
1.662925E-04	115089
1.662973E-04	115389
1.663332E-04	115689
1.664102E-04	115989
1.665547E-04	116289
1.666812E-04	116589
1.668412E-04	116889
1.670524E-04	117189
1.672601E-04	117489
1.675101E-04	117789
1.677427E-04	118089
1.679182E-04	118389
1.681326E-04	118689
1.682552E-04	118989
1.684286E-04	119289
1.685226E-04	119589
1.685383E-04	119889
1.685584E-04	120189
1.686006E-04	120489
1.686615E-04	120789
1.686787E-04	121089
1.687895E-04	121391
1.688277E-04	121691
1.688282E-04	121991
1.688247E-04	122291
1.687826E-04	122591
1.688460E-04	122891
1.688298E-04	123196
1.687208E-04	123496
1.686786E-04	123796
1.686103E-04	124096
1.685415E-04	124396
1.684644E-04	124696
1.684425E-04	124996
1.683525E-04	125296
1.682961E-04	125596
1.682257E-04	125896
1.682328E-04	126196
1.682198E-04	126496
1.682830E-04	126796
1.683002E-04	127096
1.684266E-04	127396
1.685817E-04	127696
1.687066E-04	127996
1.688462E-04	128296
1.689991E-04	128598
1.691043E-04	128898
1.692824E-04	129198
1.693886E-04	129498
1.695224E-04	129798
1.696292E-04	130098
1.697090E-04	130398
1.697714E-04	130698
1.697894E-04	130998
1.698294E-04	131298
1.697897E-04	131598
1.698193E-04	131898
1.698497E-04	132198
1.698738E-04	132498
1.699047E-04	132798
1.699403E-04	133098
1.699791E-04	133398
1.699880E-04	133698
1.699642E-04	133998
1.699469E-04	134298
1.699284E-04	134598
1.698785E-04	134898
1.698108E-04	135198
1.697541E-04	135498
1.696827E-04	135798
1.696616E-04	136100
1.696507E-04	136400
1.696498E-04	136700
1.696619E-04	137000
1.696949E-04	137300
1.697040E-04	137600
1.696731E-04	137900
1.696516E-04	138200
1.695843E-04	138500
1.694940E-04	138800
1.693629E-04	139100
1.692787E-04	139400
1.691979E-04	139700
1.690932E-04	140000
1.690271E-04	140300
1.689300E-04	140600
1.688505E-04	140900
1.688508E-04	141200
1.688164E-04	141500
1.688863E-04	141800
1.689585E-04	142100
1.690397E-04	142400
1.691505E-04	142700
1.692789E-04	143000
1.694004E-04	143301
1.694858E-04	143601
1.695590E-04	143901
1.696201E-04	144201
1.696784E-04	144501
1.697074E-04	144801
1.697513E-04	145101
1.697716E-04	145401
1.697551E-04	145701
1.697571E-04	146001
1.697659E-04	146301
1.697579E-04	146601
1.697560E-04	146901
1.697412E-04	147201
1.697371E-04	147501
1.697739E-04	147801
1.697636E-04	148101
1.697578E-04	148401
1.697833E-04	148701
1.697512E-04	149001
1.697119E-04	149301
1.697334E-04	149601
1.697291E-04	149901
1.697406E-04	150201
1.698085E-04	150503
1.698166E-04	150803
1.698335E-04	151103
1.698575E-04	151403
1.698847E-04	151703
1.698959E-04	152003
1.699281E-04	152303
1.699501E-04	152610
1.699641E-04	152910
1.699618E-04	153210
1.699530E-04	153510
1.698820E-04	153810
1.697878E-04	154110
1.696981E-04	154410
1.696558E-04	154710
1.695720E-04	155010
1.695264E-04	155310
1.694879E-04	155610
1.694581E-04	155910
1.693583E-04	156210
1.692700E-04	156510
1.691069E-04	156810
1.690245E-04	157110
1.687818E-04	157410
1.685174E-04	157710
1.682275E-04	158012
1.678885E-04	158312
1.674444E-04	158612
1.671065E-04	158912
1.666377E-04	159212
1.663261E-04	159512
1.659520E-04	159812
1.656090E-04	160112
1.651809E-04	160412
1.648155E-04	160712
1.645000E-04	161012
1.642155E-04	161312
1.639876E-04	161612
1.637381E-04	161912
1.635722E-04	162212
1.632513E-04	162512
1.628274E-04	162812
1.625181E-04	163112
1.620285E-04	163412
1.615529E-04	163712
1.611533E-04	164012
1.604486E-04	164312
1.598059E-04	164612
1.592099E-04	164912
1.586651E-04	165214
1.581731E-04	165514
1.578870E-04	165814
1.574525E-04	166114
1.573552E-04	166414
1.572242E-04	166714
1.573006E-04	167014
1.575277E-04	167314
1.573823E-04	167614
1.573694E-04	167914
1.571757E-04	168214
1.569119E-04	168514
1.563409E-04	168814
1.558775E-04	169114
1.551928E-04	169414
1.548508E-04	169714
1.542861E-04	170014
1.538795E-04	170314
1.533589E-04	170614
1.526639E-04	170914
1.520757E-04	171214
1.512359E-04	171514
1.504260E-04	171814
1.495950E-04	172114
1.487252E-04	172415
1.478695E-04	172715
1.470591E-04	173015
1.463984E-04	173315
1.458684E-04	173615
1.453314E-04	173915
1.447987E-04	174215
1.444803E-04	174515
1.440859E-04	174815
1.438872E-04	175115
1.436117E-04	175415
1.434350E-04	175715
1.433450E-04	176015
1.432539E-04	176315
1.430465E-04	176615
1.427420E-04	176915
1.426531E-04	177215
1.423481E-04	177515
1.423349E-04	177815
1.423978E-04	178115
1.426045E-04	178415
1.426585E-04	178715
1.427833E-04	179015
1.427916E-04	179315
1.430179E-04	179615
1.431027E-04	179917
1.431693E-04	180217
1.429398E-04	180517
1.429218E-04	180817
1.426241E-04	181117
1.425013E-04	181417
1.424047E-04	181717
1.421990E-04	182024
1.419542E-04	182324
