S121C	2019-03-12 18:23:14
value unit [W]	time unit [ms]
wavelength	413.000nm
range	AUTO
7.911634E-02	196
7.905073E-02	496
7.907876E-02	796
7.896513E-02	1096
7.902276E-02	1396
7.905842E-02	1696
7.879581E-02	1996
7.922619E-02	2296
7.960770E-02	2596
7.980227E-02	2896
7.996061E-02	3196
7.983858E-02	3496
7.991233E-02	3796
7.994826E-02	4096
7.980303E-02	4396
8.000188E-02	4696
8.104730E-02	4996
8.063639E-02	5296
8.032455E-02	5596
8.055144E-02	5896
8.067510E-02	6196
8.073011E-02	6496
8.074078E-02	6796
8.061919E-02	7097
8.077572E-02	7397
8.067909E-02	7697
8.049987E-02	7997
8.078257E-02	8297
8.027166E-02	8597
8.025655E-02	8897
7.967132E-02	9197
8.010915E-02	9497
8.018652E-02	9797
7.980958E-02	10097
8.029536E-02	10397
8.024057E-02	10697
8.017606E-02	10997
7.934972E-02	11297
7.963489E-02	11597
7.992502E-02	11897
8.030510E-02	12197
8.033872E-02	12497
7.968567E-02	12797
7.998012E-02	13097
7.957744E-02	13397
7.966554E-02	13697
7.906470E-02	13997
7.899496E-02	14297
7.934389E-02	14597
7.833754E-02	14899
7.896619E-02	15199
7.934482E-02	15499
7.925542E-02	15799
7.943101E-02	16099
7.947169E-02	16399
7.955480E-02	16699
7.905383E-02	16999
7.908235E-02	17299
7.857832E-02	17599
7.890534E-02	17899
7.910006E-02	18199
7.907094E-02	18499
7.865753E-02	18799
7.886587E-02	19099
7.869688E-02	19399
7.856943E-02	19699
7.859860E-02	19999
7.879347E-02	20299
7.868303E-02	20599
7.844856E-02	20899
7.860054E-02	21199
7.831129E-02	21499
7.875620E-02	21799
7.935409E-02	22099
7.968459E-02	22399
7.939941E-02	22701
7.960676E-02	23001
7.967873E-02	23301
7.967132E-02	23601
7.957114E-02	23901
7.956496E-02	24201
7.981191E-02	24501
7.951519E-02	24801
7.955930E-02	25101
7.959887E-02	25401
7.912566E-02	25701
7.990540E-02	26001
7.995345E-02	26301
7.988314E-02	26601
8.022857E-02	26901
8.004905E-02	27201
8.055044E-02	27501
8.021089E-02	27801
7.994041E-02	28101
8.006875E-02	28401
8.060904E-02	28701
8.047538E-02	29001
8.007433E-02	29301
8.029048E-02	29601
8.048757E-02	29901
8.087159E-02	30203
8.038270E-02	30503
8.021139E-02	30803
8.047694E-02	31103
8.024202E-02	31403
8.041096E-02	31871
8.007561E-02	32012
7.999560E-02	32312
8.008540E-02	32612
8.041180E-02	32912
7.980645E-02	33212
7.988415E-02	33512
8.010887E-02	33812
8.025151E-02	34112
8.043875E-02	34412
8.024847E-02	34712
7.969311E-02	35012
7.986692E-02	35312
8.007532E-02	35612
7.955244E-02	35912
7.987370E-02	36212
7.933842E-02	36512
7.894760E-02	36812
7.873739E-02	37112
7.833207E-02	37412
7.901308E-02	37712
7.926547E-02	38013
7.932033E-02	38313
7.927446E-02	38613
7.923801E-02	38913
7.885649E-02	39213
7.920560E-02	39513
7.941297E-02	39813
7.925714E-02	40113
7.928190E-02	40413
7.910104E-02	40713
7.966337E-02	41013
7.925609E-02	41313
7.936735E-02	41613
7.933987E-02	41913
7.922731E-02	42213
7.916255E-02	42513
7.923456E-02	42813
7.864538E-02	43113
7.875408E-02	43413
7.902758E-02	43713
7.925074E-02	44013
7.898343E-02	44313
7.893843E-02	44613
7.961746E-02	44913
7.945710E-02	45213
7.904000E-02	45515
7.931004E-02	45815
7.895900E-02	46115
7.906699E-02	46415
7.955301E-02	46715
7.936483E-02	47015
7.923663E-02	47315
7.911427E-02	47615
7.928105E-02	47915
7.932623E-02	48215
7.936129E-02	48515
7.932554E-02	48815
7.911399E-02	49115
7.905412E-02	49415
7.950447E-02	49715
7.975919E-02	50015
7.948692E-02	50315
7.920642E-02	50615
7.896598E-02	50915
7.924540E-02	51215
7.913785E-02	51515
7.938495E-02	51815
7.958841E-02	52115
7.960314E-02	52415
7.976205E-02	52715
7.979750E-02	53015
7.952173E-02	53318
7.936426E-02	53617
7.963230E-02	53918
7.956148E-02	54217
8.005255E-02	54518
8.014373E-02	54817
8.036134E-02	55118
8.046695E-02	55417
8.018830E-02	55718
7.977170E-02	56017
8.019245E-02	56318
7.998855E-02	56617
8.035116E-02	56918
8.037974E-02	57217
8.050291E-02	57518
8.045474E-02	57817
8.016237E-02	58118
8.014531E-02	58417
8.060926E-02	58718
8.059256E-02	59017
8.036432E-02	59318
7.988163E-02	59617
8.006958E-02	59918
8.011974E-02	60217
8.029755E-02	60518
8.054748E-02	60817
7.991464E-02	61118
8.005742E-02	61418
8.034509E-02	61718
8.074560E-02	62018
8.041316E-02	62318
7.996749E-02	62624
8.008227E-02	62924
8.037403E-02	63224
8.055009E-02	63524
8.053217E-02	63824
8.082892E-02	64124
8.041264E-02	64424
8.077274E-02	64724
8.076324E-02	65024
8.077101E-02	65324
8.073854E-02	65624
8.086181E-02	65924
8.088630E-02	66224
8.063067E-02	66524
8.079445E-02	66824
8.157773E-02	67124
8.125058E-02	67424
8.116903E-02	67724
8.099530E-02	68024
8.070723E-02	68324
8.109743E-02	68625
8.103997E-02	68925
8.132720E-02	69225
8.131763E-02	69525
8.104672E-02	69825
8.121510E-02	70125
8.107217E-02	70425
8.146320E-02	70725
8.138911E-02	71025
8.158684E-02	71325
8.158414E-02	71625
8.123908E-02	71925
8.132244E-02	72225
8.134278E-02	72525
8.130760E-02	72825
8.105955E-02	73125
8.106913E-02	73425
8.158921E-02	73725
8.150584E-02	74025
8.181551E-02	74325
8.176728E-02	74625
8.170972E-02	74925
8.197501E-02	75225
8.206078E-02	75525
8.185405E-02	75825
8.076136E-02	76125
8.109197E-02	76427
8.144616E-02	76727
8.107165E-02	77027
8.126046E-02	77327
8.132881E-02	77627
8.156207E-02	77927
8.142404E-02	78227
8.171527E-02	78527
8.101236E-02	78827
8.135526E-02	79127
8.072629E-02	79427
8.082752E-02	79727
8.087818E-02	80027
8.097575E-02	80327
8.111046E-02	80627
8.103377E-02	80927
8.103400E-02	81227
8.084559E-02	81527
8.088554E-02	81827
8.097193E-02	82127
8.099578E-02	82427
8.063529E-02	82727
8.066478E-02	83027
8.074606E-02	83327
8.080181E-02	83627
8.058638E-02	83929
8.078995E-02	84229
8.088738E-02	84529
8.083278E-02	84829
8.085793E-02	85129
8.115263E-02	85429
8.082491E-02	85729
8.072206E-02	86029
8.111253E-02	86329
8.106167E-02	86629
8.102151E-02	86929
8.136299E-02	87229
8.125196E-02	87529
8.132467E-02	87829
8.160746E-02	88129
8.127349E-02	88429
8.109457E-02	88729
8.106188E-02	89029
8.128008E-02	89329
8.092938E-02	89629
8.118250E-02	89929
8.118454E-02	90229
8.112738E-02	90529
8.101998E-02	90829
8.135169E-02	91129
8.111960E-02	91429
8.147045E-02	91730
8.154085E-02	92030
8.166681E-02	92330
8.144398E-02	92630
8.137941E-02	92930
8.143965E-02	93230
8.158867E-02	93537
8.159958E-02	93837
8.189351E-02	94137
8.195021E-02	94437
8.179260E-02	94737
8.174013E-02	95037
8.161747E-02	95337
8.157819E-02	95637
8.165567E-02	95937
8.124707E-02	96237
8.134051E-02	96537
8.136226E-02	96837
8.164865E-02	97137
8.182809E-02	97437
8.185525E-02	97737
8.166526E-02	98037
8.153744E-02	98337
8.232841E-02	98637
8.177991E-02	98937
8.247221E-02	99237
8.270824E-02	99538
8.199328E-02	99838
8.219393E-02	100138
8.217303E-02	100438
8.194280E-02	100738
8.224512E-02	101038
8.228644E-02	101338
8.257913E-02	101638
8.181740E-02	101938
8.215187E-02	102238
8.252788E-02	102538
8.286219E-02	102838
8.287293E-02	103138
8.251030E-02	103438
8.261138E-02	103738
8.228877E-02	104038
8.188386E-02	104338
8.290002E-02	104638
8.288542E-02	104938
8.325277E-02	105238
8.294421E-02	105538
8.309804E-02	105838
8.302444E-02	106138
8.298618E-02	106438
8.332895E-02	106740
8.311515E-02	107040
8.353741E-02	107340
8.312751E-02	107640
8.307039E-02	107940
8.341143E-02	108240
8.369617E-02	108540
8.307481E-02	108840
8.285041E-02	109140
8.334196E-02	109440
8.381778E-02	109740
8.341875E-02	110040
8.345558E-02	110340
8.352628E-02	110640
8.359012E-02	110940
8.383171E-02	111240
8.351787E-02	111540
8.369280E-02	111840
8.355279E-02	112140
8.334981E-02	112440
8.363657E-02	112740
8.360939E-02	113040
8.426302E-02	113340
8.393878E-02	113640
8.332375E-02	113942
8.341548E-02	114242
8.380881E-02	114542
8.390744E-02	114842
8.396269E-02	115142
8.366450E-02	115442
8.353984E-02	115742
8.356155E-02	116042
8.368138E-02	116342
8.370966E-02	116642
8.371563E-02	116942
8.407728E-02	117242
8.390804E-02	117542
8.355188E-02	117842
8.427554E-02	118142
8.368264E-02	118442
8.366598E-02	118742
8.411023E-02	119042
8.351684E-02	119342
8.404320E-02	119642
8.351717E-02	119942
8.380862E-02	120242
8.360151E-02	120542
8.394831E-02	120842
8.377381E-02	121142
8.398055E-02	121443
8.325679E-02	121743
8.304759E-02	122043
8.343270E-02	122343
8.371928E-02	122643
8.314407E-02	122943
8.297813E-02	123249
8.325023E-02	123549
8.265772E-02	123849
8.343942E-02	124149
8.374608E-02	124449
8.395505E-02	124749
8.337045E-02	125049
8.314427E-02	125349
8.317018E-02	125649
8.358670E-02	125949
8.280440E-02	126249
8.357579E-02	126549
8.314740E-02	126849
8.310135E-02	127149
8.334832E-02	127449
8.329428E-02	127749
8.287680E-02	128049
8.298524E-02	128349
8.346501E-02	128651
8.338007E-02	128951
8.339601E-02	129251
8.363478E-02	129551
8.382352E-02	129851
8.389258E-02	130151
8.384927E-02	130451
8.382512E-02	130751
8.351689E-02	131051
8.300313E-02	131351
8.321353E-02	131651
8.311139E-02	131951
8.242016E-02	132251
8.327385E-02	132551
8.336280E-02	132851
8.257456E-02	133151
8.314166E-02	133451
8.298067E-02	133751
8.327570E-02	134051
8.308198E-02	134351
8.264254E-02	134651
8.255623E-02	134951
8.309498E-02	135251
8.346286E-02	135551
8.289734E-02	135851
8.278194E-02	136152
8.288259E-02	136452
8.298044E-02	136752
8.266188E-02	137052
8.258875E-02	137352
8.278096E-02	137652
8.265696E-02	137952
8.289792E-02	138252
8.255976E-02	138552
8.195608E-02	138852
8.270774E-02	139152
8.286929E-02	139452
8.287869E-02	139752
8.335794E-02	140052
8.235779E-02	140352
8.277144E-02	140652
8.261391E-02	140952
8.280124E-02	141252
8.229954E-02	141552
8.330592E-02	141852
8.304284E-02	142152
8.215753E-02	142452
8.246034E-02	142752
8.232034E-02	143052
8.249475E-02	143354
8.292917E-02	143654
8.274729E-02	143954
8.278226E-02	144254
8.232630E-02	144554
8.279616E-02	144854
8.283525E-02	145154
8.263385E-02	145454
8.283797E-02	145754
8.254895E-02	146054
8.238776E-02	146354
8.279489E-02	146654
8.249460E-02	146954
8.208334E-02	147254
8.187802E-02	147554
8.254074E-02	147854
8.229355E-02	148154
8.243468E-02	148454
8.277190E-02	148754
8.212348E-02	149054
8.252967E-02	149354
8.293726E-02	149654
8.342853E-02	149954
8.328247E-02	150254
8.299872E-02	150556
8.312144E-02	150856
8.369713E-02	151156
8.354398E-02	151456
8.312010E-02	151756
8.386688E-02	152056
8.326410E-02	152356
8.377449E-02	152662
8.399332E-02	152962
8.391584E-02	153262
8.337018E-02	153562
8.298395E-02	153862
8.322803E-02	154162
8.320077E-02	154462
8.327892E-02	154762
8.345267E-02	155062
8.347376E-02	155362
8.382443E-02	155662
8.387860E-02	155962
8.413907E-02	156262
8.416590E-02	156562
8.416522E-02	156862
8.376686E-02	157162
8.337847E-02	157462
8.380164E-02	157762
8.347163E-02	158064
8.384731E-02	158364
8.386237E-02	158664
8.396555E-02	158964
8.388049E-02	159264
8.336598E-02	159564
8.359022E-02	159864
8.380001E-02	160164
8.369873E-02	160464
8.399902E-02	160764
8.398931E-02	161064
8.365483E-02	161364
8.399389E-02	161664
8.415888E-02	161964
8.411223E-02	162264
8.395354E-02	162564
8.386292E-02	162864
8.393978E-02	163164
8.380646E-02	163464
8.384807E-02	163764
8.370519E-02	164064
8.435787E-02	164364
8.408272E-02	164664
8.408592E-02	164964
8.413209E-02	165266
8.378804E-02	165566
8.349743E-02	165866
8.369379E-02	166166
8.355872E-02	166466
8.353326E-02	166766
8.310718E-02	167066
8.340958E-02	167366
8.409130E-02	167666
8.381256E-02	167966
8.420222E-02	168266
8.396213E-02	168566
8.349697E-02	168866
8.377027E-02	169166
8.376044E-02	169466
8.375494E-02	169766
8.371132E-02	170066
8.290393E-02	170366
8.373953E-02	170666
8.364323E-02	170966
8.357211E-02	171266
8.414669E-02	171566
8.394634E-02	171866
8.390746E-02	172166
8.397000E-02	172467
8.385036E-02	172767
8.401620E-02	173067
8.375559E-02	173367
8.334871E-02	173667
8.422373E-02	173967
8.391241E-02	174267
8.430734E-02	174567
8.393145E-02	174867
8.369481E-02	175167
8.395962E-02	175467
8.359052E-02	175767
8.338302E-02	176067
8.310173E-02	176367
8.307891E-02	176667
8.320098E-02	176967
8.333126E-02	177267
8.369096E-02	177567
8.313975E-02	177867
8.408213E-02	178167
8.414331E-02	178467
8.394003E-02	178767
8.373497E-02	179067
8.351027E-02	179367
8.344091E-02	179667
8.346989E-02	179969
8.340380E-02	180269
8.379305E-02	180569
8.379965E-02	180869
8.364639E-02	181169
8.394711E-02	181469
8.384581E-02	181769
8.429828E-02	182076
8.423156E-02	182376
