S121C	2019-03-13 01:15:12
value unit [W]	time unit [ms]
wavelength	413.000nm
range	AUTO
8.186112E-02	140
8.188847E-02	440
8.203036E-02	740
8.202019E-02	1040
8.199444E-02	1340
8.182821E-02	1640
8.161466E-02	1940
8.137906E-02	2240
8.112997E-02	2540
8.085747E-02	2840
8.056481E-02	3140
8.015837E-02	3440
7.976021E-02	3740
7.935714E-02	4040
7.896341E-02	4340
7.874452E-02	4640
7.843953E-02	4940
7.828099E-02	5240
7.803398E-02	5540
7.781939E-02	5840
7.759338E-02	6140
7.732037E-02	6440
7.695127E-02	6740
7.658558E-02	7042
7.625669E-02	7342
7.598106E-02	7642
7.570273E-02	7942
7.555874E-02	8242
7.542548E-02	8542
7.534643E-02	8842
7.519687E-02	9142
7.517903E-02	9442
7.511790E-02	9742
7.511621E-02	10042
7.511777E-02	10342
7.513159E-02	10642
7.512950E-02	10942
7.510578E-02	11242
7.508597E-02	11542
7.508901E-02	11842
7.511018E-02	12142
7.518744E-02	12442
7.531057E-02	12742
7.534723E-02	13042
7.546613E-02	13342
7.548162E-02	13642
7.558972E-02	13942
7.556887E-02	14242
7.560304E-02	14542
7.560652E-02	14843
7.563075E-02	15143
7.568258E-02	15443
7.574521E-02	15743
7.574034E-02	16043
7.576799E-02	16343
7.580788E-02	16643
7.589924E-02	16943
7.596763E-02	17243
7.608593E-02	17543
7.620334E-02	17843
7.636556E-02	18143
7.657312E-02	18443
7.676949E-02	18743
7.698062E-02	19043
7.717592E-02	19343
7.738006E-02	19643
7.753953E-02	19943
7.772884E-02	20243
7.785159E-02	20543
7.792214E-02	20843
7.796373E-02	21143
7.807133E-02	21443
7.809562E-02	21743
7.813677E-02	22043
7.822333E-02	22343
7.834183E-02	22644
7.839083E-02	22944
7.855480E-02	23244
7.862877E-02	23544
7.874192E-02	23844
7.887465E-02	24144
7.898662E-02	24444
7.917101E-02	24744
7.929464E-02	25044
7.943144E-02	25344
7.957465E-02	25644
7.969664E-02	25944
7.986099E-02	26244
7.995848E-02	26544
8.009490E-02	26844
8.018740E-02	27144
8.030224E-02	27444
8.036765E-02	27744
8.043006E-02	28044
8.045854E-02	28344
8.057425E-02	28644
8.062432E-02	28944
8.072379E-02	29244
8.080105E-02	29544
8.087878E-02	29844
8.096836E-02	30146
8.102414E-02	30446
8.107467E-02	30746
8.113212E-02	31046
8.127490E-02	31346
8.133621E-02	31651
8.142058E-02	31951
8.148981E-02	32251
8.153295E-02	32551
8.154279E-02	32851
8.150948E-02	33151
8.145284E-02	33451
8.139854E-02	33751
8.135670E-02	34051
8.123016E-02	34351
8.112756E-02	34651
8.095935E-02	34951
8.083757E-02	35251
8.065526E-02	35551
8.048762E-02	35851
8.032065E-02	36151
8.020850E-02	36451
8.011959E-02	36751
7.999389E-02	37051
8.000935E-02	37351
7.991687E-02	37651
7.988378E-02	37952
7.979974E-02	38252
7.977740E-02	38552
7.972250E-02	38852
7.968547E-02	39152
7.961041E-02	39452
7.960436E-02	39752
7.949985E-02	40052
7.942101E-02	40352
7.934678E-02	40652
7.923481E-02	40952
7.912860E-02	41252
7.902629E-02	41552
7.899556E-02	41852
7.891065E-02	42152
7.887287E-02	42452
7.886335E-02	42752
7.885911E-02	43052
7.889201E-02	43352
7.889728E-02	43652
7.898004E-02	43952
7.897100E-02	44252
7.894268E-02	44552
7.893436E-02	44852
7.885275E-02	45152
7.880778E-02	45453
7.874646E-02	45753
7.860542E-02	46053
7.856171E-02	46353
7.849504E-02	46653
7.842392E-02	46953
7.838900E-02	47253
7.832228E-02	47553
7.824688E-02	47853
7.818583E-02	48153
7.812668E-02	48453
7.809986E-02	48753
7.802341E-02	49053
7.796634E-02	49353
7.783899E-02	49653
7.775412E-02	49953
7.764414E-02	50253
7.761628E-02	50553
7.762506E-02	50853
7.764136E-02	51153
7.765022E-02	51453
7.769749E-02	51753
7.766135E-02	52053
7.772965E-02	52353
7.774020E-02	52653
7.781284E-02	52953
7.777570E-02	53255
7.774106E-02	53555
7.771225E-02	53855
7.759103E-02	54155
7.754590E-02	54455
7.745383E-02	54755
7.736545E-02	55055
7.732011E-02	55355
7.723863E-02	55655
7.712411E-02	55955
7.704678E-02	56255
7.696795E-02	56555
7.690983E-02	56855
7.680567E-02	57155
7.670636E-02	57455
7.659511E-02	57755
7.648475E-02	58055
7.637297E-02	58355
7.615730E-02	58655
7.602642E-02	58955
7.584219E-02	59255
7.563111E-02	59555
7.539277E-02	59855
7.516754E-02	60155
7.492127E-02	60455
7.467277E-02	60755
7.439395E-02	61056
7.417443E-02	61356
7.389486E-02	61656
7.364491E-02	61956
7.342055E-02	62256
7.320172E-02	62562
7.299990E-02	62862
7.282057E-02	63162
7.270323E-02	63462
7.262842E-02	63762
7.256272E-02	64062
7.254995E-02	64362
7.255521E-02	64662
7.256123E-02	64962
7.259110E-02	65262
7.259192E-02	65562
7.261195E-02	65862
7.261957E-02	66162
7.260923E-02	66462
7.259250E-02	66762
7.258090E-02	67062
7.255790E-02	67362
7.253197E-02	67662
7.249059E-02	67962
7.246032E-02	68262
7.243095E-02	68566
7.240367E-02	68864
7.237871E-02	69166
7.236642E-02	69464
7.236233E-02	69766
7.234455E-02	70064
7.234469E-02	70366
7.235797E-02	70664
7.232833E-02	70966
7.233718E-02	71264
7.232415E-02	71566
7.232488E-02	71864
7.231300E-02	72166
7.230964E-02	72464
7.228632E-02	72766
7.228779E-02	73064
7.228842E-02	73366
7.229768E-02	73664
7.231018E-02	73966
7.230286E-02	74264
7.230397E-02	74566
7.231504E-02	74864
7.230341E-02	75166
7.229371E-02	75464
7.226684E-02	75766
7.224981E-02	76064
7.221790E-02	76366
7.219145E-02	76665
7.216605E-02	76966
7.215754E-02	77265
7.216247E-02	77566
7.218593E-02	77865
7.220511E-02	78166
7.223327E-02	78465
7.227743E-02	78766
7.230099E-02	79065
7.233818E-02	79366
7.233485E-02	79665
7.234038E-02	79966
7.233226E-02	80265
7.232661E-02	80566
7.231101E-02	80865
7.229888E-02	81166
7.227400E-02	81465
7.225175E-02	81766
7.222134E-02	82065
7.217821E-02	82366
7.214621E-02	82665
7.212961E-02	82966
7.212052E-02	83265
7.212718E-02	83566
7.213745E-02	83867
7.217412E-02	84167
7.221069E-02	84467
7.226211E-02	84767
7.231366E-02	85067
7.234670E-02	85367
7.237368E-02	85667
7.240243E-02	85967
7.243810E-02	86267
7.245491E-02	86567
7.246912E-02	86867
7.248994E-02	87167
7.250640E-02	87467
7.252107E-02	87767
7.256243E-02	88067
7.259671E-02	88367
7.266115E-02	88667
7.270400E-02	88967
7.278909E-02	89267
7.284684E-02	89567
7.289138E-02	89867
7.296079E-02	90167
7.299823E-02	90467
7.304388E-02	90767
7.306416E-02	91067
7.312167E-02	91367
7.316211E-02	91668
7.320954E-02	91968
7.326573E-02	92268
7.332190E-02	92568
7.339829E-02	92868
7.352041E-02	93168
7.360429E-02	93474
7.369423E-02	93774
7.379921E-02	94074
7.390941E-02	94374
7.402862E-02	94674
7.405780E-02	94974
7.414020E-02	95274
7.414256E-02	95574
7.418633E-02	95874
7.415829E-02	96174
7.411695E-02	96474
7.408714E-02	96774
7.399064E-02	97074
7.391614E-02	97374
7.381042E-02	97674
7.373697E-02	97974
7.363097E-02	98274
7.359523E-02	98574
7.350553E-02	98874
7.346067E-02	99174
7.341805E-02	99475
7.336846E-02	99775
7.334498E-02	100075
7.332593E-02	100375
7.328149E-02	100675
7.329167E-02	100975
7.326923E-02	101275
7.326121E-02	101575
7.320945E-02	101875
7.317429E-02	102175
7.311302E-02	102475
7.305416E-02	102775
7.302462E-02	103075
7.297850E-02	103375
7.296073E-02	103675
7.294697E-02	103975
7.292704E-02	104275
7.290179E-02	104575
7.285699E-02	104875
7.276910E-02	105175
7.270570E-02	105475
7.264674E-02	105775
7.259460E-02	106075
7.256851E-02	106375
7.255609E-02	106676
7.252171E-02	106976
7.251510E-02	107276
7.252436E-02	107576
7.252822E-02	107876
7.255257E-02	108176
7.255292E-02	108476
7.256168E-02	108776
7.258895E-02	109076
7.262185E-02	109376
7.269473E-02	109676
7.275385E-02	109976
7.282896E-02	110276
7.289456E-02	110576
7.295282E-02	110876
7.300250E-02	111176
7.305859E-02	111476
7.312351E-02	111776
7.315125E-02	112076
7.318086E-02	112376
7.320301E-02	112676
7.322222E-02	112976
7.321090E-02	113276
7.324551E-02	113576
7.323130E-02	113878
7.326890E-02	114178
7.327320E-02	114478
7.330345E-02	114778
7.332071E-02	115078
7.333247E-02	115378
7.334505E-02	115678
7.334505E-02	115978
7.332652E-02	116278
7.329337E-02	116578
7.326052E-02	116878
7.325587E-02	117178
7.323290E-02	117478
7.325011E-02	117778
7.320011E-02	118078
7.322431E-02	118378
7.324831E-02	118678
7.324369E-02	118978
7.323943E-02	119278
7.324921E-02	119578
7.326882E-02	119878
7.331587E-02	120178
7.341844E-02	120478
7.345401E-02	120778
7.355941E-02	121078
7.364434E-02	121379
7.376334E-02	121679
7.388633E-02	121979
7.402851E-02	122279
7.422196E-02	122579
7.442731E-02	122879
7.462376E-02	123185
7.483600E-02	123485
7.505384E-02	123785
7.528292E-02	124085
7.551406E-02	124385
7.573712E-02	124685
7.593084E-02	124985
7.615633E-02	125285
7.632555E-02	125585
7.650823E-02	125885
7.671226E-02	126185
7.678784E-02	126485
7.689136E-02	126785
7.691970E-02	127085
7.695498E-02	127385
7.690282E-02	127685
7.692588E-02	127985
7.686710E-02	128285
7.689679E-02	128586
7.688058E-02	128886
7.683118E-02	129186
7.678724E-02	129486
7.675646E-02	129786
7.669167E-02	130086
7.661534E-02	130386
7.657494E-02	130686
7.650506E-02	130986
7.637259E-02	131286
7.624143E-02	131586
7.613695E-02	131886
7.602066E-02	132186
7.596675E-02	132486
7.588855E-02	132786
7.586570E-02	133086
7.581527E-02	133386
7.584836E-02	133686
7.584548E-02	133986
7.583602E-02	134286
7.585084E-02	134586
7.582839E-02	134886
7.586211E-02	135186
7.585012E-02	135486
7.584231E-02	135786
7.583932E-02	136088
7.583018E-02	136388
7.585231E-02	136688
7.585822E-02	136988
7.583047E-02	137288
7.582849E-02	137588
7.576715E-02	137888
7.575154E-02	138188
7.564158E-02	138488
7.556511E-02	138788
7.550684E-02	139088
7.548708E-02	139388
7.551748E-02	139688
7.558291E-02	139988
7.566079E-02	140288
7.573855E-02	140588
7.579288E-02	140888
7.580796E-02	141188
7.578307E-02	141488
7.573294E-02	141788
7.564654E-02	142088
7.554621E-02	142388
7.545575E-02	142688
7.533921E-02	142988
7.526589E-02	143289
7.517768E-02	143589
7.512037E-02	143889
7.508735E-02	144189
7.507197E-02	144489
7.509211E-02	144789
7.503080E-02	145089
7.509279E-02	145389
7.508890E-02	145689
7.509658E-02	145989
7.515119E-02	146289
7.512137E-02	146589
7.516766E-02	146889
7.516114E-02	147189
7.514703E-02	147489
7.515813E-02	147789
7.514291E-02	148089
7.516663E-02	148389
7.519054E-02	148689
7.523476E-02	148989
7.525489E-02	149289
7.532854E-02	149589
7.535431E-02	149889
7.539093E-02	150189
7.539836E-02	150490
7.543618E-02	150790
7.536729E-02	151090
7.536366E-02	151390
7.524304E-02	151690
7.521219E-02	151990
7.509389E-02	152290
7.495670E-02	152596
7.487395E-02	152896
7.477842E-02	153196
7.469223E-02	153496
7.462147E-02	153796
7.458064E-02	154096
7.455589E-02	154396
7.452954E-02	154696
7.450443E-02	154996
7.451117E-02	155296
7.455699E-02	155596
7.457838E-02	155896
7.465526E-02	156196
7.470915E-02	156496
7.478452E-02	156796
7.485437E-02	157096
7.491948E-02	157396
7.496475E-02	157696
7.498544E-02	157998
7.501341E-02	158298
7.499184E-02	158598
7.502750E-02	158898
7.503493E-02	159198
7.505853E-02	159498
7.511583E-02	159798
7.521673E-02	160098
7.523575E-02	160398
7.536995E-02	160698
7.541829E-02	160998
7.546185E-02	161298
7.547595E-02	161598
7.542765E-02	161898
7.535761E-02	162198
7.526385E-02	162498
7.517697E-02	162798
7.512940E-02	163098
7.505557E-02	163398
7.496607E-02	163698
7.488298E-02	163998
7.476417E-02	164298
7.471476E-02	164598
7.461374E-02	164898
7.450738E-02	165199
7.438613E-02	165499
7.431520E-02	165799
7.420351E-02	166099
7.416303E-02	166399
7.414079E-02	166699
7.412095E-02	166999
7.408844E-02	167299
7.408755E-02	167599
7.406593E-02	167899
7.407715E-02	168199
7.410243E-02	168499
7.415404E-02	168799
7.422736E-02	169099
7.429627E-02	169399
7.433774E-02	169699
7.436252E-02	169999
7.439887E-02	170299
7.443379E-02	170599
7.445970E-02	170899
7.447732E-02	171199
7.449619E-02	171499
7.451841E-02	171799
7.447972E-02	172099
7.440507E-02	172400
7.427356E-02	172700
7.416236E-02	173000
7.398568E-02	173300
7.382695E-02	173600
7.372750E-02	173900
7.356955E-02	174200
7.345964E-02	174500
7.332899E-02	174800
7.323010E-02	175100
7.311668E-02	175400
7.303301E-02	175700
7.295608E-02	176000
7.286089E-02	176300
7.279569E-02	176600
7.272496E-02	176900
7.265359E-02	177200
7.258378E-02	177500
7.253052E-02	177800
7.246342E-02	178100
7.240479E-02	178400
7.236326E-02	178700
7.231969E-02	179000
7.231820E-02	179300
7.232635E-02	179600
7.235623E-02	179902
7.237222E-02	180202
7.241506E-02	180502
7.243143E-02	180802
7.243758E-02	181102
7.246508E-02	181402
7.248928E-02	181702
7.251660E-02	182008
7.253807E-02	182308
